
2024/03/10 (22:24:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/10 (22:24:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/10 (22:24:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/10 (22:24:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/10 (22:24:42) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/03/10 (22:24:42) | DEBUG: Shared::init() : Initialized.
2024/03/10 (22:26:46) | INFO: Logger set to INFO

2024/03/11 (07:14:16) | ===> btop++ v.1.3.2
2024/03/11 (07:14:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (07:14:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/11 (07:14:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (07:14:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/11 (07:14:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/11 (07:14:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/11 (07:14:20) | ===> btop++ v.1.3.2
2024/03/11 (07:14:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (07:14:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/11 (07:14:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (07:14:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/11 (07:14:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/11 (07:14:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/11 (07:25:31) | ===> btop++ v.1.3.2
2024/03/11 (07:25:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (07:25:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/11 (07:25:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (07:25:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/11 (07:25:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/11 (07:25:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/11 (10:43:45) | ===> btop++ v.1.3.2
2024/03/11 (10:43:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/11 (10:43:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/11 (10:43:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
